"Series","Series.Name","Season","Episode","IMDB.Ranking","Title","Star.date","Air.date","Bechdel.Wallace.Test","Director","Writer.1","Writer.2","Writer.3","Writer.4","Writer.5","Writer.6","Female.Director","Female.Writer.1","Female.Writer.2","Female.Writer.3","Female.Writer.4","Female.Writer.5","Female.Writer.6","Executive.Producer.1","Executive.Producer.2","Executive.Producer.3","Co.Executive.Producer.1","Co.Executive.Producer.2","Co.Executive.Producer.3","Producer.1","Producer.2","Producer.3","Producer.4","Co.Producer.1","Co.Producer.2","Co.Producer.3","Co.Producer.4","Co.Producer.5","Associate.Producer.1","Associate.Producer.2","Supervising.Producer.1","Supervising.Producer.2","Supervising.Producer.3","Co.Supervising.Producer.1","Co.Supervising.Producer.2","Line.Producer","Coordinating.Producer","Consulting.Producer.1","Consulting.Producer.2","Female.Executive.Producer","Female.Co.Executive.Producer","Female.Producer","Female.Co.Producer","Female.Associate.Producer","Female.Supervising.Producer","Female.Co.Supervising.Producer","Female.Line.Producer"
"TOS","The Original Series",2,7,6.3,"Catspaw","3018.2","27/10/67",FALSE,"Joseph Pevney","Robert Bloch",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",2,8,7.5,"I, Mudd","4513.3","3/11/67",TRUE,"Marc Daniels","Stephen Kandel",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",2,9,7.4,"Metamorphosis","3219.4","10/11/67",FALSE,"Ralph Senensky","Gene L. Coon",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",2,10,8.6,"Journey to Babel","3842.3","17/11/67",FALSE,"Joseph Pevney","D. C. Fontana",NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"John Meredyth Lucas",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",2,11,7,"Friday's Child","3497.2","1/12/67",FALSE,"Joseph Pevney","D. C. Fontana",NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",2,12,7.5,"The Deadly Years","3478.2","8/12/67",FALSE,"Joseph Pevney","David P. Harmon",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",2,13,7.4,"Obsession","3619.2","15/12/67",FALSE,"Ralph Senensky","Art Wallace",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"John Meredyth Lucas",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",2,14,7.5,"Wolf in the Fold","3614.9","22/12/67",FALSE,"Joseph Pevney","Robert Bloch",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",2,15,8.9,"The Trouble With Tribbles","4523.3","29/12/67",FALSE,"Joseph Pevney","David Gerrold",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",2,16,7.1,"The Gamesters of Triskelion","3211.7","5/1/68",FALSE,"Gene Nelson","Magret Armen",NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"John Meredyth Lucas",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
